亚科	subfamily	族	tribe	属	genus 	种	species	产地编号	male	female	照片	备注
角顶叶蝉亚科	Deltocephalinae	带叶蝉族	Scaphoideini	透斑叶蝉属	Scaphomonus	长板透斑叶蝉	longistyleus	0	1	0		
角顶叶蝉亚科	Deltocephalinae	带叶蝉族	Scaphoideini	木叶蝉属	Phlogotettix	希神木叶蝉	polyphemus	0	2	0		
角顶叶蝉亚科	Deltocephalinae	带叶蝉族	Scaphoideini	带叶蝉属	Scaphoideus	锁突带叶蝉	proxaprocessus	0	2	0		
角顶叶蝉亚科	Deltocephalinae	带叶蝉族	Scaphoideini	带叶蝉属	Scaphoideus	白条带叶蝉	albovittatus	0	1	0		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	鲁米叶蝉属	Lumicella	圆茎鲁米叶蝉	rotundata	0	55	37		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	雅氏叶蝉属	Jacobiasca	波宁雅氏叶蝉	boninensis	0	156	132		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	长柄叶蝉属	Alebroides	武胜长柄叶蝉	wushensis	0	2	1		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	长柄叶蝉属	Alebroides	杨凌长柄叶蝉	yanglinginus	0	16	28		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	长柄叶蝉属	Alebroides	木子长柄叶蝉	muzitaneus	0	24	15		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	长柄叶蝉属	Alebroides	拟棕色长柄叶蝉	parafuscus	0	40	14		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	膜瓣叶蝉属	Membranacea	片突膜瓣叶蝉	plana	0	26	15		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	松村叶蝉属	Matsumurasca	松村叶蝉	grandisoma	0	5	3		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	拉迪叶蝉属	Rubiparvus	双斑拉迪叶蝉	bistigma	0	1	0		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	弗来叶蝉属	Flaviata	波曲弗来叶蝉	sinuata	0	2	0		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	巴塔叶蝉属	Alebrasca	弯茎巴塔叶蝉	actinidiae	0	3	1		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	尼小叶蝉属	Nikkotettix	尖突尼小叶蝉	cuspidata	0	78	58		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	尼小叶蝉属	Nikkotettix	太白尼小叶蝉	taibaiensis	0	3	0		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	小绿叶蝉属	Empoasca	阿勒泰小绿叶蝉	altaica	0	7	3		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	奥库叶蝉属	Okubasca	拟阔底奥库叶蝉	paracalvata 	0	1	0		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	奥小叶蝉属	Austroasca	棉奥小叶蝉	vittata	0	32	22		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	基叉叶蝉属	Radicafurcus	短突基叉叶蝉	breviprocessus	0	1	1		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	光小叶蝉属	Apheliona	斯光小叶蝉	xerophila	0	4	0		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	光小叶蝉属	Apheliona	张氏光小叶蝉	zhangi	0	2	1		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	偏茎叶蝉属	Asymmetrasca	赛恩偏茎叶蝉	cienka	0	1	2		
小叶蝉亚科	Typhlocybinae	小绿叶蝉族	Empoascini	偏茎叶蝉属	Asymmetrasca	凯偏茎叶蝉	kaicola	0	37	22		
大叶蝉亚科	Cicadellinae	大叶蝉族	Cicadellini	凹大叶蝉属	Bothrogonia	通凹大叶蝉	tongmaiana	19	0	1		
大叶蝉亚科	Cicadellinae	大叶蝉族	Cicadellini	凹大叶蝉属	Bothrogonia	通or大斑凹大叶蝉	sp	9	0	1		
大叶蝉亚科	Cicadellinae	大叶蝉族	Cicadellini	凹大叶蝉属	Bothrogonia	蜀凹大叶蝉	shuana	13	0	1		
大叶蝉亚科	Cicadellinae	大叶蝉族	Cicadellini	凹大叶蝉属	Bothrogonia	琼凹大叶蝉	qiongana	9,10,11,15,16,32,36	5	4		
大叶蝉亚科	Cicadellinae	大叶蝉族	Cicadellini	凹大叶蝉属	Bothrogonia	大斑凹大叶蝉	macromaculata	18	0	2		
大叶蝉亚科	Cicadellinae	大叶蝉族	Cicadellini	凹大叶蝉属	Bothrogonia	剑凹大叶蝉	jianchuana	10	1	0		
大叶蝉亚科	Cicadellinae	0	0	边大叶蝉属	Kolla	顶斑边大叶蝉	paulula	9,10,11,12,13,15,16,18,19,20,21,32,36	24	56		
大叶蝉亚科	Cicadellinae	0	0	窗翅叶蝉属	Mileewa	枝茎窗翅叶蝉	branchiuma	11,16,19	2	6		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	黑胸条大叶蝉	nigridorsum	10	1	0		
大叶蝉亚科	Cicadellinae	0	0	条大叶蝉属	Atkinsoniella	黑背条大叶蝉	nigrita	7,8,17,16	6	2		
